,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
94,Steamed red bean sweet rice (40),Pollack stew,Seasoned salad with cabbage in soy red chilli paste,Braised quail eggs in soy sauce,Radish kimchi cubes,S sweet potato salad (mayonnaise),S homestyle banana milk,Steamed pearl barley rice,Octopus soup,Roasted smoked duck with vagetable,Braised beef and devil's tongue jelly,Mustard leave and stem kimchi,S tomato juice,S red bean porridge,Paprika rice ball with fried tofu,Freshwater snail soy paste stew,Pan-fried winter mushroom with eggs,empty,Green onion kimchi
95,Steamed sweet rice,Cockle soy paste stew,Seasoned oyster mushroom,Steamed aubergine in sauce,Pickled beet,S potato salad,S sweet potato shake,Pork and cabbage over rice,Zucchini soy paste soup,Seasoned salad with spicy bean sprout,Seasoned fuki stem and perilla seed,Water kimchi,S sesame milk soup,S rice punch,Steamed corn rice (30),Mung bean jelly soup,Cucumber and tomato salad (balsamic vinegar dressing),empty,Ponytail radish kimchi
96,Stir-fried rice with white kimchi,Mandu (dumpling) chicken stew,Seasoned salad with aubergine in marinade sauce,(low-salt) braised chicken and sweet pumpkin,Young radish water kimchi,S tofu vagetable porridge,S rice-based beverage,Steamed rice,Oyster mushroom soup,Steamed aubergine with marinade sauce,empty,Radish kimchi cubes,S raisin potato bowl,S peach walnut smoothie,Steamed red bean rice (30),Seaweed mandu (dumpling) soup,(chilli powder-free) seasoned salad with chive and apple,empty,Young radish kimchi
97,Steamed red bean rice (30),Red bean porridge,Stir-fried zucchini and dried shrimp,Seasoned salad with sweet potato stem in soy paste,Ponytail radish kimchi,S beef potato porridge,S soft tofu salad (oriental dressing),Stir-fried rice with broccoli and vegetables,Noodles in fish soup,Seasoned green bean sprout,Vegetable croquette,Water kimchi,S rice punch,S homestyle banana milk,Steamed sweet rice (add),Carrot soup,Boneless chicken steak with sauce,empty,Pickled beet
98,Steamed sweet rice and red bean,Tofu shabu-shabu,Braised burdock slices and konjac,Beans cooked in soy sauce,Radish kimchi cubes,S sweet pumpkin rice punch,S kiwi (100g),Steamed corn rice (30),Broccoli soup,Stir-fried dried shrimp and zucchini,Pan-fried seafood(+shrimp) and chive,Young radish water kimchi,S sweet potato shake,empty,Steamed sweet rice,Mandu (dumpling) unpressed tofu stew,Steamed aubergine in sauce,Seasoned oyster mushroom,Perilla leaf kimchi
99,Steamed sweet rice and brown rice (30),Zucchini soup,Stir-fried winter mushroom,Pan-fried tofu and spinach,Ponytail radish kimchi,S raisin potato bowl,S solomon's seal tea,Steamed sweet rice (add),Mini-ball rice cake seaweed soup,Seasoned salad with bellflower root,Vegetable croquette,Pickled beet,S homestyle banana milk,S cheese stick,Beef and aubergine over rice,Oyster mushroom soup,Dried radish,empty,Water kimchi
100,Steamed brown rice,Potato dough soup,Seasoned winter cabbage,Stir-fried shrimp in ketchup,Cucumber kimchi,S homestyle strawberry milk,S soft crab veggie soup,Stir-fried rice with perilla leaves,Red bean porridge,Stir-fried oyster mushroom and carrot,Seasoned zucchini,Kohlrabi watery kimchi,S soft tofu salad (oriental dressing),S black soybean milk (150ml),Steamed corn rice (30),Short-necked clam(shell-less) soup,Stir-fried soft crab and vegetables,Braised konjac and quail eggs in soy sauce,Mustard leave and stem kimchi
101,Steamed chestnut bean rice,Tofu shabu-shabu,Seasoned salad with bellflower root,Braised chicken(breast) in teriyaki sauce,Radish kimchi cubes,S rice-based beverage,S cheese soft crab porridge,Beef rice ball with seaweed flakes,Zucchini tofu salted shrimp soup,Stir-fried barbequed beef and mushroom,Seasoned oyster mushroom,Young radish kimchi,S milk with misugaru (mixed grain powder),S raisin potato bowl,Steamed sweet potato rice (30),Mandu (dumpling) soup,Stir-fried octopus and vegetables in spicy sauce,empty,Sweet napa cabbage watery kimchi
102,Japanese style beef over rice (kyudon),Oyster mushroom soup,Stir-fried jukkumi and vegetables in soy sauce,Daikon and pear salad,Pickled beet,S soft tofu salad (oriental dressing),S sweet potato shake,Steamed sweet rice,Seaweed mandu (dumpling) soup,Steamed aubergine in sauce,Seasoned salad with spicy bean sprout,Young radish water kimchi,S sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S sweet pumpkin rice punch,Steamed corn rice (30),Broccoli soup,Seasoned salad with sweet potato stem in soy paste,Stir-fried dried shrimp and zucchini,Ponytail radish kimchi
103,Steamed sorghum rice (30),Sakhalin surf-clam and seaweed soup,Seasoned winter mushroom and chive,Stir-fried beef and bokchoy,Cucumber kimchi,S korean melon salad,S rice-based beverage,Steamed sweet rice (add),Tofu shabu-shabu,Seasoned winter mushroom,Seasoned oyster mushroom,Radish watery kimchi,S milk (100ml),S sujebi,Beef and aubergine over rice,Mini udon with fried tofu,Seasoned salad with paprika in yuzu marinade,Seasoned bellflower root,Young radish kimchi
104,Steamed chestnut bean rice,Old pumpkin soup,Seasoned salad with dried cuttlefish and dried radish,Seasoned salad with shepherd's purse,Pickled beet,S soft tofu salad (oriental dressing),S misugaru (mixed grain powder),Japanese style beef over rice (kyudon),Zucchini tofu salted shrimp soup or stew,Braised anchovy and sweet napa cabbage,Seasoned salad with chwinamul and perilla seed,Water kimchi,S homestyle strawberry milk,empty,Steamed mung bean rice (40),Mandu (dumpling) soup,Braised burdock slices and konjac,empty,Young radish water kimchi
105,Steamed sweet rice (add),Oyster mushroom soup,Pan-fried sweet pumpkin,Braised black beans,Radish watery kimchi,S beef burdock porridge,S tomato juice,Steamed red bean rice (30),Zucchini tofu salted shrimp soup,Stir-fried zucchini and dried shrimp,Pan-fried seafood and chive,Ponytail radish kimchi,S raisin potato bowl,S sweet potato shake,Beef and aubergine over rice,Mini udon with fried tofu,Stir-fried winter mushroom,Seasoned salad with bean sprout,Cucumber kimchi
106,Steamed sorghum rice (30),Kimchi tofu stew,Vegetable croquette,Seasoned bellflower root,Radish kimchi cubes,S sweet pumpkin rice punch,S soft tofu salad (oriental dressing),Steamed chestnut bean rice,Young pumpkin soup(clear),Stir-fried dried shrimp and zucchini,empty,Young radish water kimchi,S homestyle banana milk,S cheese stick,Curried rice with chicken and potato + marinade sauce,Mandu (dumpling) soup,Dried radish,empty,Pickled cucumber
107,Steamed red bean rice (30),Assorted fried fish paste soup,Lotus root and black sesame salad,Stir-fried potato and fried fish paste,Cucumber kimchi,S macaroni and vegetable salad,S milk (100ml),Steamed sweet rice (add),Pork back-bone stew,Stir-fried zucchini and dried shrimp,Seasoned winter mushroom and chive,Pickled beet,S pan-fried vegetables,S rice-based beverage,Japanese style beef over rice (kyudon),Mini-ball rice cake seaweed soup,Seasoned salad with shepherd's purse,Seasoned oyster mushroom,Ponytail radish kimchi
108,Steamed sorghum rice (30),Mandu (dumpling) soup,Vegetable croquette,Seasoned salad with korean melon and overripe cucumber,Young radish kimchi,S sweet potato shake,S beef burdock porridge,Stir-fried rice with broccoli and vegetables,Beef brisket soy paste soup,Braised burdock slices and konjac,Seasoned salad with sweet potato stem in soy paste,Radish kimchi cubes,S soft tofu salad (oriental dressing),S misugaru (mixed grain powder),Steamed chestnut bean rice,Oyster mushroom soup,Braised meat ball and paprika,Roasted aubergine,Young radish water kimchi
109,Steamed sweet rice (add),Assorted mushroom stew,Roasted potato with butter,Pan-fried kimchi (mild),Pickled beet,S korean melon salad,S cream sauce spaghetti,Steamed red bean rice (30),Mini udon with fried tofu,Seasoned winter mushroom,Stir-fried dried shrimp and zucchini,Ponytail radish kimchi,S homestyle banana milk,S sweet pumpkin rice punch,Japanese style beef over rice (kyudon),Young pumpkin soup(clear),Seasoned salad with bellflower root,Braised tomato tofu and daikon,Pickled cucumber
110,Steamed mixed-grain rice,Young pumpkin soup(clear),Dried radish,Stir-fried chicken and broccoli,Sweet radish kimchi,S korean melon salad,S misugaru (mixed grain powder),Rice with beans (40),Mandu (dumpling) soup,Stir-fried zucchini and dried shrimp,Vegetable croquette,Young radish water kimchi,S beef burdock porridge,S milk (100ml),Steamed sweet rice (add),Mini-ball rice cake seaweed soup,Roasted potato with butter,empty,Pickled beet
111,Deluxe rice with pyogo mushroom and chwinamul,Whole chicken soup,Stir-fried sweet potato stem,Salted sea lettuce,Young radish kimchi,S sweet pumpkin rice punch,Dried persimmon,Steamed sweet rice,Pork shoulder kimchi soup,Seasoned salad with winter cabbage,Pan-fried seafood and spring cabbage,Water kimchi,S milk with misugaru (mixed grain powder),empty,Steamed brown rice (30),Curled mallow and river snail soup,Seasoned curled mallow,Neobiani salad,Perilla leaf kimchi
112,Steamed red bean rice (30),Tofu shabu-shabu,Stir-fried zucchini,(chilli powder-free) seasoned salad with chive and apple,Pickled beet,S raisin potato bowl,S fruit soft tofu smoothie,Steamed chestnut bean rice,Seaweed mandu (dumpling) soup,Seasoned salad with spicy bean sprout,Seasoned winter mushroom and chive,Radish watery kimchi,S sweet potato shake,S black soy tteokbokki (stir-fried rice cake),Cream spaghetti,empty,Seasoned young pumpkin,Stir-fried tofu and vegetables in oyster sauce,Ponytail radish kimchi
113,Steamed sweet rice,Bean powder spinach soup,Seasoned salad with bellflower root and pear,Seasoned oyster mushroom,Water kimchi,S black sesame soy milk (200ml),S red bean porridge,Steamed corn rice (30),Mandu (dumpling) chicken stew,Seasoned salad with sweet potato stem in soy paste,Pan-fried seafood(+shrimp) and chive,Radish kimchi cubes,S milk (100ml),S soft tofu salad (oriental dressing),Shrimp cream spaghetti,empty,Stir-fried jukkumi and vegetables in soy sauce,Steamed aubergine in sauce,Young radish kimchi
114,Steamed pearl barley rice,Tofu shabu-shabu,Braised burdock slices and konjac,Stir-fried zucchini,Ponytail radish kimchi,S rice-based beverage,S homestyle banana milk,Steamed chestnut bean rice (30),Oyster mushroom soup,Braised pork shanks,Beans cooked in soy sauce,Perilla leaf kimchi,S aglio e olio spaghetti,S raisin potato bowl,Japanese style beef over rice (kyudon),Mandu (dumpling) unpressed tofu stew,Seasoned salad with spicy bean sprout,Daikon and pear salad,Young radish water kimchi
115,Beef and aubergine over rice,Young pumpkin soup(clear),Braised potato with cheese,Stir-fried zucchini and dried shrimp,Water kimchi,S soft tofu salad (oriental dressing),S sujebi,Steamed sweet rice (add),Mushroom soup,Seasoned winter mushroom and chive,Vegetable croquette,Radish watery kimchi,S tomato juice,S milk (100ml),Steamed red bean rice (30),Mini udon with fried tofu,Seasoned oyster mushroom,Seasoned winter mushroom,Radish kimchi cubes
116,Stir-fried rice with broccoli and vegetables,Tofu shabu-shabu,Seasoned salad with sweet potato stem in soy paste,Seasoned salad with paprika in soy red chilli paste,Pickled cucumber,S sweet pumpkin rice punch,S tofu vagetable porridge,Steamed corn rice (30),Kimchi soup with fried tofu,Seasoned salad with korean melon and overripe cucumber,Braised burdock slices and konjac,Pickled beet,S raisin potato bowl,S homestyle banana milk,Steamed sweet rice,Mandu (dumpling) soup,Boiled and cooled pork slices,Stir-fried zucchini with bean powder,Ponytail radish kimchi
117,Steamed sorghum rice (30),Little neck clam soy paste soup,Vegetable croquette,Seasoned oyster mushroom,Radish kimchi cubes,S rice-based beverage,S soft tofu salad (oriental dressing),Stir-fried rice beef in oyster sauce,Red bean porridge,Seasoned salad with shepherd's purse,empty,Perilla leaf kimchi,S walnut milk,empty,Steamed chestnut bean rice,Assorted mushroom stew,Seasoned salad with bellflower root,empty,Water kimchi
118,Steamed sweet rice,Mushroom vegetable stew,Seasoned salad with sweet potato stem in soy paste,Seasoned young pumpkin,Young radish water kimchi,S homestyle strawberry milk,S solomon's seal tea,Steamed black rice,Clam dried radish leaf soup,Seasoned winter mushroom and chive,Stir-fried chicken and paprika,Ponytail radish kimchi,S beef potato porridge,S potato salad,Steamed chestnut red bean sweet rice (30),Tofu shabu-shabu,Pan-fried mung bean,Seasoned salad with spicy bean sprout,Young radish kimchi
119,Steamed chestnut bean rice (30),Mini-rice cake seaweed soup,Seasoned salad with oyster mushroom,Barbequed beef,Pickled beet,S soft tofu salad (oriental dressing),S red bean porridge,Rice (extra),Tofu clam soup,Stir-fried tofu and vegetables in oyster sauce,Stir-fried zucchini,Radish kimchi cubes,S milk (100ml),S tomato juice,Beef and aubergine over rice,Shiitake mushroom stew,Lotus root and black sesame salad,empty,Water kimchi
120,Rice with beans,Mini udon (white wheat noodles) with deep-fried shrimp,Stir-fried jukkumi and,Seasoned shepherd's purse,Green onion kimchi,S rice-based beverage,S milk with misugaru (mixed grain powder),Steamed sweet rice and red bean,Veggie soup,Stir-fried beef brisket and green bean sprout,Stir-fried potato and fried fish paste,Pickled cucumber,S raisin potato bowl,S rice porridge,Steamed mixed-grain rice (30),Old pumpkin soup,Pan-fried mushroom,Seasoned salad with chwinamul in soy paste,Ponytail radish kimchi
121,Stir-fried rice with shrimp and sea lettuce,Potato dough soup,Dried radish,Korean beef pancake with tofu and vegetables,Young radish water kimchi,S sweet pumpkin rice punch,S burdock rice ball,Steamed red bean rice,Tofu clam soup,Stir-fried dried shrimp,Stir-fried soft crab and paprika,Pickled beet,S sweet persimmon (50g),S milk (200ml),Steamed pearl barley rice (30),Mushroom chive soup,Barbequed beef,Pan-fried winter mushroom with eggs,Radish watery kimchi
122,Steamed sweet rice (add),Tofu shabu-shabu,Pan-fried dried shrimp and curled mallow,Braised burdock slices and konjac,Water kimchi,S soft tofu salad (oriental dressing),S homestyle banana milk,Curried rice with chicken and potato + marinade sauce,Assorted mushroom stew,Seasoned salad with sweet potato stem in soy paste,Stir-fried jukkumi and vegetables in soy sauce,Radish kimchi cubes,S sujebi,S rice-based beverage,Steamed red bean rice (30),Mandu (dumpling) soup,Seasoned oyster mushroom,Seasoned winter mushroom and chive,Ponytail radish kimchi
123,Steamed corn rice (30),Mandu (dumpling) unpressed tofu stew,Steamed bean sprout,Seasoned salad with spicy bean sprout,Pickled beet,S solomon's seal tea,S acorn jelly soup,Bibimbap with summer radish,Oyster mushroom soup,(chilli powder-free) seasoned salad with overripe cucumber,Dried radish,Young radish water kimchi,S sweet potato shake,S raisin potato bowl,Steamed sweet rice,Mandu (dumpling) chicken stew,Stir-fried zucchini,Stir-fried tofu and vegetables in oyster sauce,Seasoned salad with pickled daikon
124,Steamed mixed-grain rice,Corn soup,Oi-sobagi,Cabbage salad (sesame dressing),Ponytail radish kimchi,S green plum tea,S milk with misugaru (mixed grain powder),Steamed brown rice (40),Kimchi soup,Seasoned oyster mushroom,Braised beef in soy sauce,Cucumber kimchi,S sweet red bean porridge,S soft tofu salad (oriental dressing),Beef rice balls,Bokchoy soup,Rolled omelette,Fresh kimchi with chicory,Kohlrabi watery kimchi
125,Japanese style beef over rice (kyudon),Oyster tofu soup,Steamed mandu (dumpling),Braised anchovy and sweet napa cabbage,Water kimchi,S rice punch,S fried fish paste soup,Steamed sweet rice,Oyster mushroom soup(clear),Stir-fried jukkumi and vegetables in soy sauce,Steamed aubergine in sauce,Radish kimchi cubes,S raisin potato bowl,S sweet potato shake,Steamed sweet potato rice (40),Mushroom beef soup,Seasoned bellflower root and perilla seed,Stir-fried zucchini,Sweet napa cabbage watery kimchi
126,Steamed corn rice (30),Fried tofu spring onion soup,Steamed bean sprout,Stir-fried tofu and vegetables in oyster sauce,Perilla leaf kimchi,S cucumber carrot stick,S homestyle banana milk,Steamed pearl barley rice,Red bean porridge,Grilled dried white bait,empty,Ponytail radish kimchi,S rice-based beverage,S sesame sweet potato porridge,Pork and cabbage over rice,Konjac fried fish paste soup,Braised chicken in tomato sauce,empty,Young radish kimchi
127,Steamed red bean rice (30),Little neck clam soup,Seasoned young pumpkin,Dried radish,Seasoned salad with pickled daikon,S rice punch,S beef potato porridge,Stir-fried rice with white kimchi,Mandu (dumpling) chicken stew,Seasoned salad with spicy bean sprout,Stir-fried pork and kimchi,Radish kimchi cubes,S soft tofu salad (oriental dressing),S sweet potato shake,Steamed sweet rice,Zucchini salted shrimp stew,Stir-fried dried shrimp and zucchini,Seasoned salad with sweet potato stem in soy paste,Water kimchi
128,Stir-fried rice with broccoli and vegetables,Fried fish paste soup(clear),Braised chicken(breast) in teriyaki sauce,Boneless chicken steak with sauce,Young radish water kimchi,S raisin potato bowl,S milk (200ml),Steamed sweet rice (add),Red bean porridge,Seasoned oyster mushroom,Steamed fish and zucchini,Cucumber kimchi,S misugaru (mixed grain powder),empty,Steamed sorghum rice (30),Mandu (dumpling) soup,Cabbage salad (sesame dressing),empty,Pickled cucumber
129,Steamed pearl barley rice,Zucchini tofu soy paste soup,Stir-fried zucchini,Dried radish,Radish kimchi cubes,S milk (100ml),S soft tofu salad (oriental dressing),Curried rice with tofu,Tofu clam soup,Seasoned winter mushroom,Potato gratin,Water kimchi,S pan-fried vegetables,S rice-based beverage,Rice with beans (40),Rice cake seaweed soup,Stir-fried oyster mushroom and carrot,empty,Pickled beet
130,Pork and cabbage over rice,Mandu (dumpling) soup,Pan-fried seafood and spring cabbage,Steamed aubergine in sauce,Seasoned salad with pickled daikon,S sweet pumpkin rice punch,S sweet potato shake,Steamed sweet rice,Tofu shabu-shabu,Stir-fried jukkumi and vegetables in soy sauce,Seasoned oyster mushroom,Young radish water kimchi,S raisin potato bowl,empty,Steamed corn rice (30),Dried bonito soy paste soup,Braised pork shanks,empty,Young radish kimchi
131,Beef and aubergine over rice,Assorted mushroom stew,Pan-fried cuttlefish and chive,Seasoned salad with sweet potato stem in soy paste,Ponytail radish kimchi,S homestyle banana milk,S rice-based beverage,Steamed sorghum rice (30),Chive soup,Seasoned salad with aubergine in marinade sauce,Stir-fried zucchini and dried shrimp,Radish kimchi cubes,S soft tofu salad (oriental dressing),empty,Steamed sweet rice (add),Red bean porridge,Vegetable croquette,Cream tteokbokki (stir-fried rice cake),Pickled beet
132,Pork and cabbage over rice,Tofu shabu-shabu,Steamed aubergine with marinade sauce,Braised pork shanks,Water kimchi,S rice punch,S cream sauce spaghetti,Steamed mixed-grain rice (40),Oyster mushroom soup(clear),Seasoned salad with paprika in yuzu marinade,Stir-fried zucchini,Seasoned salad with pickled daikon,S raisin potato bowl,S sweet potato shake,Steamed sweet rice,Mandu (dumpling) unpressed tofu stew,Seasoned salad with spicy bean sprout,Seasoned oyster mushroom,Young radish water kimchi
133,Steamed corn rice (30),Beef brisket soy paste soup,Stir-fried jukkumi and vegetables in soy sauce,Fresh kimchi winter cabbage,Pickled beet,S aglio e olio spaghetti,S yuzu tea,Steamed sweet rice (add),Tofu potato soup,Cream tteokbokki (stir-fried rice cake),Dried radish,Radish kimchi cubes,S milk with misugaru (mixed grain powder),S soft tofu salad (oriental dressing),Steamed pearl barley rice,Oyster mushroom soup,Pan-fried brown kelp and potato,empty,Ponytail radish kimchi
134,Steamed sweet rice and red bean,Cold korean melon seaweed soup,Seasoned salad with spicy bean sprout,Salted sea lettuce,Young radish kimchi,S raisin potato bowl,S rice punch,Steamed chestnut bean rice (30),Tofu shabu-shabu,Stir-fried tofu and vegetables in oyster sauce,Stir-fried zucchini,Water kimchi,S sweet potato shake,S beef seaweed porridge,Pork and cabbage over rice,Octopus soup,Seasoned young pumpkin,Steamed aubergine with marinade sauce,Cucumber kimchi
135,Steamed sorghum rice (30),Seaweed mandu (dumpling) soup,Pan-fried vegetables with lotus root,Lotus root and black sesame salad,Radish watery kimchi,S red bean porridge,S korean melon salad,Steamed sweet rice,Zucchini salted shrimp soup or stew,Seasoned bellflower root,empty,Pickled korean style daikon,S rice-based beverage,S milk (100ml),Steamed sweet rice (add),Mini udon with fried tofu,Pan-fried meat and perilla leaf,empty,Ponytail radish kimchi
136,Steamed chestnut bean rice,Mandu (dumpling) soup,Tomato cheese salad,Seasoned winter mushroom,Pickled beet,S barley tea,S soft tofu salad (oriental dressing),Beef and aubergine over rice,Kimchi tofu soup,Barbequed beef,Stir-fried zucchini with bean powder,Perilla leaf kimchi,S homestyle banana milk,empty,Steamed sweet rice (30),Red bean porridge,Seasoned salad with aubergine,Braised anchovy and sweet napa cabbage,Kohlrabi watery kimchi
137,Steamed mixed-grain rice (40),Spring onion bean sprout soup,Stir-fried vegetables and eggs,Dried radish,Young radish water kimchi,S mushroom soy paste porridge,S milk with misugaru (mixed grain powder),Stir-fried rice with shrimp and garlic flakes,Curled mallow soup(clear),Seasoned salad with soft crab in mayonnaise,Macaroni and vegetable salad (mayonnaise),Radish kimchi cubes,S raisin potato bowl,S rice-based beverage,Rice (extra),Dried bonito soy paste soup,Fresh kimchi with spring parsley,Pork stir-fried with black bean paste,Sweet radish kimchi
138,Rice with beans (40),Bean sprout beef stew,Braised vegetables and fried fish paste bowl,Seasoned salad with deodeok and apple,Mustard leave and stem kimchi,S hot chocolate,S homestyle banana milk,Steamed pearl barley rice,Potato soup,Cabbage salad in yuzu marinade,Seasoned salad with aubergine,Ponytail radish kimchi,S soft tofu salad (oriental dressing),S beef burdock porridge,Beef and aubergine over rice,Curled mallow and river snail soup,Pan-fried winter mushroom with eggs,Seasoned salad with spicy bean sprout,Pickled beet
139,Steamed sweet rice (add),Mandu (dumpling) soup,Stir-fried zucchini and dried shrimp,Seasoned salad with shepherd's purse,Radish kimchi cubes,S barley tea,S macaroni and vegetable salad,Beef bibimbap,Oyster mushroom soup,Stir-fried dried shrimp and zucchini,Braised chicken(breast) in teriyaki sauce,Perilla leaf kimchi,S milk (100ml),S red bean porridge,Steamed red bean rice (30),Young pumpkin soup(clear),Seasoned salad with paprika in yuzu marinade,empty,Cucumber kimchi
140,Steamed chestnut bean rice (30),Mandu (dumpling) chicken stew,Steamed aubergine with marinade sauce,(chilli powder-free) seasoned salad with chive and apple,Pickled beet,S peach walnut smoothie,S soft tofu salad (oriental dressing),Steamed sweet rice,Seaweed mandu (dumpling) soup,Daikon and pear salad,empty,Ponytail radish kimchi,S tofu vagetable porridge,S rice-based beverage,Pork and cabbage over rice,Potato egg soup,Dried radish,empty,Water kimchi
141,Beef rice ball with seaweed flakes,Spring onion salted seaweed soup,Stir-fried jukkumi and rice cake,Pan-fried winter mushroom with eggs,Young radish water kimchi,S milk (200ml),S jujube milk soup,Steamed pearl barley rice (40),Potato soup,Potato wedge,Seasoned salad with lettuce and acorn jelly and vegetables,Radish kimchi cubes,S sweet pumpkin rice punch,S fruit salad (mayonnaise),Rice with beans,Chive soup,Seasoned salad with winter celery,Stir-fried potato and ham,Perilla leaf kimchi
142,Steamed sweet rice (add),Mandu (dumpling) soup,Seasoned salad with bellflower root,Vegetable croquette,Cucumber kimchi,S rice-based beverage,S beef burdock porridge,Steamed sorghum rice (30),Young pumpkin soup(clear),Seasoned salad with shepherd's purse,Seasoned oyster mushroom,Young radish kimchi,S macaroni and vegetable salad,S homestyle banana milk,Japanese style beef over rice (kyudon),Assorted mushroom stew,Stir-fried potato and fried fish paste,Stir-fried dried shrimp and zucchini,Pickled beet
143,Steamed sweet rice and brown rice (30),Rich soy paste stew,Seasoned salad with bellflower root and pear,Pan-fried dried shrimp and curled mallow,Radish watery kimchi,S raisin potato bowl,S milk (100ml),Beef and aubergine over rice,Kimchi tofu stew,Steamed fish and zucchini,Macaroni corn salad,Young radish water kimchi,S tomato juice,S red bean porridge,Steamed chestnut bean rice,Tofu shabu-shabu,Braised burdock slices and konjac,Stir-fried spicy jukkumi,Radish kimchi cubes
144,Steamed sweet rice (add),Red bean porridge,Seasoned mandu (dumpling),Seasoned salad with shepherd's purse,Pickled beet,S homestyle banana milk,S rice-based beverage,Stir-fried rice with broccoli and vegetables,Mini udon with fried tofu,Stir-fried cuttlefish and shrimp,empty,Ponytail radish kimchi,S cheese soft crab porridge,S soft tofu salad (oriental dressing),Steamed sorghum rice (30),Beef bone-broth green onion soup,Stir-fried dried shrimp and zucchini,empty,Cucumber kimchi
145,Rice (extra),Mandu (dumpling) soup,Stir-fried soft crab and vegetables,Stir-fried zucchini and dried shrimp,Young radish water kimchi,S milk (100ml),S sweet pumpkin rice punch,Steamed sweet rice (30),Assorted mushroom stew,Seasoned salad with bellflower root,Seasoned salad with korean melon and overripe cucumber,Radish kimchi cubes,S beef burdock porridge,S raisin potato bowl,Steamed chestnut bean rice,Potato onion soup,Stir-fried vegetables and neobiani,Deep-fried vegetables,Water kimchi
146,Steamed sweet rice and red bean (40),Tofu clam soup,Braised chilli pepper and dried pollack in soy sauce,Stir-fried jukkumi and,Cucumber kimchi,S soft tofu salad (oriental dressing),S milk with misugaru (mixed grain powder),Steamed sweet rice (add),Bean powder mugwort soup,Seasoned salad with paprika in yuzu marinade,Dried radish,Pickled beet,S green plum tea,S beef broccoli porridge,Rice with beans,Crab soup(clear),Seasoned salad with winter celery,Stir-fried zucchini with bean powder,Ponytail radish kimchi
147,Beef and aubergine over rice,Mandu (dumpling) soup,Stir-fried dried shrimp and zucchini,Vegetable croquette,Radish kimchi cubes,S milk (100ml),S misugaru (mixed grain powder),Steamed chestnut bean rice,Young pumpkin soup(clear),Seasoned salad with sweet potato stem in soy paste,Fruit peanut salad,Water kimchi,S korean melon salad,empty,Steamed sweet potato rice (30),Mini-ball rice cake seaweed soup,Braised burdock slices and konjac,empty,Young radish water kimchi
148,Rice with beans,Veggie soup,Stir-fried jukkumi and,Seasoned shepherd's purse,Ponytail radish kimchi,S soft tofu salad (oriental dressing),S carrot seaweed flake porridge,Steamed sweet rice and red bean,Dried bonito soy paste soup,Pan-fried mushroom,Dried radish,Pickled cucumber,S homestyle banana milk,S omija ice cream,Steamed sorghum rice (30),Little neck clam soup(clear),Stir-fried potato and fried fish paste,Seasoned salad with chwinamul in soy paste,Pickled beet
149,Steamed red bean rice (30),Seaweed mandu (dumpling) soup,Seasoned salad with sweet potato stem in soy paste,empty,Young radish water kimchi,S rice-based beverage,S red bean porridge,Steamed corn rice,Mandu (dumpling) soup,Potato salad,empty,Water kimchi,S raisin potato bowl,S milk (150ml),Beef and aubergine over rice,Perilla leaf soy paste stew,Stir-fried zucchini,empty,Radish kimchi cubes
150,Steamed corn rice (30),Red bean porridge,Stir-fried dried shrimp and zucchini,Steamed aubergine in sauce,Radish watery kimchi,S potato salad,S homestyle banana milk,Pork and cabbage over rice,Zucchini salted shrimp stew,Braised potato and fried fish cake,Seasoned young pumpkin,Sweet radish kimchi,S solomon's seal tea,S pollack porridge,Rice (extra),Mandu (dumpling) chicken stew,Omelette with cheese,Cabbage salad (lemon dressing),Ponytail radish kimchi
151,Paprika rice ball with fried tofu,Napa cabbage soup(clear),Dried radish,Stir-fried spicy jukkumi,Young radish water kimchi,S soft tofu salad (oriental dressing),S milk (100ml),Steamed pearl barley rice,Mandu (dumpling) soup,Pan-fried mung bean and kimchi,Steamed fish and zucchini,Pickled beet,S black soy milk porridge,S sweet pumpkin rice punch,Steamed chestnut bean rice (40),Fried fish paste soup,Cabbage wraps,empty,Radish kimchi cubes
152,Steamed mixed-grain rice (30),Spring onion soup,Braised mini-potato,Braised konjac and quail eggs,Ponytail radish kimchi,S raisin potato bowl,S rice-based beverage,Steamed chestnut bean rice,Tofu potato soup,Seasoned salad with perilla leaves in vinegar marinade,Stir-fried chive and eggs,Water kimchi,S chwinamul soy paste porridge,S milk with misugaru (mixed grain powder),Stir-fried rice beef in oyster sauce,Chive shrimp soup,Pineapple corn salad,Stir-fried potato(shredded),Sweet napa cabbage watery kimchi
153,Stir-fried rice with broccoli and vegetables,Mandu (dumpling) soup,Seasoned salad with lettuce and apple in vinegar marinade,Vegetable croquette,Radish kimchi cubes,S soft tofu salad (oriental dressing),S beef radish porridge,Steamed sweet potato rice (30),Mini-ball rice cake seaweed soup,Seasoned salad with sweet potato stem in soy paste,Seasoned oyster mushroom,Sweet radish kimchi,S homestyle banana milk,S tomato juice,Steamed sweet rice (add),Oyster mushroom soup,Stir-fried dried shrimp and zucchini,Cream tteokbokki (stir-fried rice cake),Pickled beet
