,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
116,Steamed chestnut bean rice,Spring onion egg  soup,Soy sauce-braised beef,Seasoned salad with aubergine,Radish kimchi cubes,empty,S tomato (100g),Steamed pearl barley rice,Mandu (dumpling) soup,Stir-fried chicken with hot sauce,Seasoned broccoli,White kimchi,empty,S homestyle strawberry milk,Steamed sweet rice and red bean,Kimchi soup with fried tofu,Stir-fried jukkumi and,Braised sweet pumpkin and walnut,Cucumber kimchi
117,Steamed sweet rice,Young pumpkin soup(clear),Braised burdock slices and fried fish paste,Cucumber salad,Ponytail radish kimchi,S raisin potato bowl,S milk (200ml),Steamed sweet rice and brown rice,Chive shellfish soup,Steamed pork and sweet pumpkin,Seasoned green bean sprout,Water kimchi,S almond,S homestyle blueberry milk,Stir-fried rice with seafood,Winter mushroom miso paste soup,Fried eggs,Apple and korean melon salad,Pickled beet
118,Rice (extra),Young pumpkin soup,Rolled omelette,Sweet potato stem with herbs,Kohlrabi watery kimchi,S grilled rice cake,S milk (200ml),Deluxe rice with kimchi,Bean sprout soup,Tofu tuna salad (yuzu dressing),Stir-fried spring parsley,Water kimchi,S sweet potato salad (mayonnaise),S grape juice,Steamed rice,Clam soy paste stew,Stir-fried chicken in soy sauce without bones,Seasoned salad with cabbage in yuzu marinade,Young radish kimchi
119,Steamed red bean rice,Egg mugwort soup,Soy sauce-braised beef,Seasoned salad with perilla leaves in vinegar marinade,Cucumber kimchi,empty,S milk (150ml),Steamed sweet rice,Veggie soup,Chicken chop steak,Seasoned salad with paprika in yuzu marinade,Ponytail radish kimchi,empty,S rice-based beverage,Stir-fried rice with shrimp and sea lettuce,Mini-ball rice cake seaweed soup,Fried mandu (dumpling),Cabbage salad (lemon dressing),Pickled beet
120,Steamed sorghum rice,Oyster mushroom soup,Rolled omelette,Seasoned salad with acorn jelly in soy sauce,Napa cabbage kimchi,S mandarin (80g),S sweet pumpkin rice punch,Steamed chestnut bean rice,Clam daikon soup,Stir-fried beef and bokchoy,Seasoned salad with sweet potato stem in soy paste,Radish kimchi cubes,empty,S homestyle blueberry banana milk,Shrimp cream spaghetti,empty,Vegetable croquette,Seasoned salad with korean melon and overripe cucumber,Water kimchi
121,Steamed pearl barley rice,Wild chive soup,Soy sauce-braised beef shank,Stir-fried seaweed stem and carrot,White kimchi,S carrot soup,empty,Steamed rice with mapa tofu,Dried bonito soy paste soup,Fried mandu (dumpling),Lettuce salad,Pickled beet,empty,S homestyle blueberry milk,Steamed chestnut rice,Mushroom stew in soy sauce,Braised chicken(meat only) in teriyaki sauce,Seasoned salad with paprika in yuzu marinade,White kimchi
122,Steamed red bean rice,Mandu (dumpling) chicken stew,Stir-fried dried shrimp and zucchini,Seasoned salad with bean sprout,Water kimchi,S paprika stick,empty,Pork and cabbage over rice,Oyster mushroom soup,Pan-fried kimchi in soy puree,empty,Radish kimchi cubes,S pineapple (50g),S milk (200ml),Steamed sweet rice,Tofu shabu-shabu,Stir-fried jukkumi and vegetables in soy sauce,Steamed aubergine in sauce,Radish kimchi cubes
123,Steamed sweet rice,Radish perilla seed soup,Stir-fried quail egg and paprika,Seasoned salad with cucumber,Sweet napa cabbage watery kimchi,S sesame sweet potato porridge,S tangerine (50g),Steamed pearl barley rice,Seaweed soup,Braised halibut and daikon,Pan-fried chive with perilla leaves,White kimchi,S soft tofu salad (oriental dressing),S walnut milk,Steamed sweet rice and red bean,Mild chicken stew,Seasoned salad with fried fish paste and cuttlefish,Seasoned oyster mushroom,Kohlrabi watery kimchi
124,Steamed rice,Zucchini salted shrimp stew,Steamed eggs (40g),Pan-fried onion and fish cake,White kimchi,S banana (50g),S milk (200ml),Bibimbap with soy-based barley rice and summer radish,Unpressed soup(clear),Braised chicken(meat only) in teriyaki sauce,empty,Water kimchi,S sweet potato salad (mayonnaise),S orange juice (sugar-free),Steamed rice,Potato soup,Roasted pork(shoulder butt),Fresh kimchi with lettuce,Sweet napa cabbage watery kimchi
125,Steamed chestnut red bean sweet rice,Kimchi soup(clear),Egg green bean sprout salad,Seasoned salad with aubergine in marinade sauce,White kimchi,S orange (50g),S milk (200ml),Beef and cabbage over rice,Mushroom soup,Pan-fried seafood and chive,empty,Radish kimchi cubes,empty,S homestyle banana milk,Steamed sweet rice,Mandu (dumpling) soup,Steamed pork shank,Seasoned salad with broccoli in sesame sauce,Young radish kimchi
126,Steamed sweet potato rice,Little neck clam soup,(low-salt) braised chicken and sweet pumpkin,Lettuce salad (kiwi dressing),White kimchi,S red bean porridge,empty,Curried rice with beef,Young pumpkin soup(clear),Pan-fried winter mushroom with eggs,Fresh kimchi with spring parsley,Radish kimchi cubes,empty,S homestyle blueberry banana milk,Steamed sweet barley rice,Kimchi tofu soup,Stir-fried webfoot octopus and vegetables,Seasoned salad with paprika in yuzu marinade,Radish kimchi cubes
127,Steamed chestnut red bean sweet rice,Fried tofu cabbage soup,Grilled tofu in teriyaki sauce(soy sauce),Apple salad (balsamic vinegar dressing),Water kimchi,empty,S milk with misugaru (mixed grain powder),Beef and aubergine over rice,Potato soup,Fried mandu (dumpling),Seasoned salad with paprika in yuzu marinade,Radish kimchi cubes,empty,S milk (150ml),Steamed sweet rice,Beef stew(clear),Roasted smoked duck (mustard sauce),Seasoned winter mushroom,White kimchi
128,Steamed chestnut bean rice,Young pumpkin soup(clear),Rolled omelette with vegetables,Seasoned salad with bean sprout,Napa cabbage kimchi,empty,S homestyle blueberry milk,Japanese style beef over rice (kyudon),Soy paste soup,Deep-fried shrimp spring rolls,empty,Kohlrabi watery kimchi,S pan-fried vegetables,S rice-based beverage,Steamed red bean rice,Rice cake and dumpling soup,Quail eggs boiled down in soy sauce,Sweet potato stem with herbs,Radish kimchi cubes
129,Steamed sorghum rice,Napa cabbage soup with glass noodles,Braised pork and vegetables,Seasoned winter mushroom,Water kimchi,S almond,S homestyle blueberry milk,Stir-fried rice with shrimp in curry,Mini udon with fried tofu,Roasted potato with butter,Lettuce salad (balsamic vinegar dressing),Water kimchi,S cheese stick,S tomato juice,Steamed sweet rice and red bean,Young pumpkin soup,Stir-fried barbequed beef and glass noodles,Pan-fried washed kimchi,Sweet napa cabbage watery kimchi
130,Rice with beans,Shredded radish onion soup,Rolled omelette,Seasoned young pumpkin,White kimchi,S kyogo grape (100g),empty,Chicken-mayo rice bowl,Sliced potato soup,Pan-fried mung bean,Seasoned salad with paprika,Pickled korean style daikon,empty,S homestyle strawberry milk,Steamed mung bean rice,Clam sea lettuce soup,Braised meat ball,Salted seaweed,Young radish kimchi
131,Rice (extra),Potato soup,Braised meat ball,Chive and onion salad,White kimchi,S blueberry (50g),S yoghurt (100ml),Stir-fried rice with cherry tomato and shrimp,Spring onion soy paste soup,Mini pork cutlet,empty,Pickled beet,S rainbow rice cake,S homestyle banana milk,Steamed chestnut bean rice,Mandu (dumpling) soup,Stir-fried octopus and vegetables,Seasoned winter cabbage,Radish kimchi cubes
132,Steamed sweet rice and brown rice,Tofu konjac soup,Pan-fried mushroom,Braised anchovy and sweet napa cabbage,Radish kimchi cubes,S fruit salad,empty,Japanese style beef over rice (kyudon),Cream soup,Deep-fried potato,Lettuce strawberry salad,Young radish water kimchi,empty,S homestyle blueberry milk,Steamed sweet rice and red bean,Pork back-bone stew,Braised mackerel and daikon,Seasoned spinach,Water kimchi
133,Steamed sweet rice,Acorn jelly soup(hot),Stir-fried tofu and vegetables in oyster sauce,Seasoned salad with aubergine,Water kimchi,empty,S homestyle blueberry milk,Curried rice with beef,Fried tofu spring onion  soup,empty,Lotus root and black sesame salad,Radish kimchi cubes,S orange juice,S milk bread roll,Steamed corn rice,Yangsongyi mushroom soy paste soup,(low salt and sugar) steamed chicken,Seasoned salad with bean sprout,Young radish water kimchi
134,Steamed sorghum rice,Chicken daikon soup,Roasted seaweed + sauce,Braised anchovy,Water kimchi,S homestyle blueberry milk,empty,Steamed rice,Mandu (dumpling) soup,Pan-fried seafood and chive,Seasoned oyster mushroom,White kimchi,empty,S sweet pumpkin salad (mayonnaise),Steamed chestnut bean rice,Tofu shabu-shabu,Stir-fried beef and bokchoy,Seasoned salad with paprika in yuzu marinade,Water kimchi
135,Steamed chestnut bean rice,Kimchi tofu stew,Stir-fried tuna and vegetables,Seasoned salad with cucumber,Radish kimchi cubes,empty,S misugaru (mixed grain powder),Curried rice with tofu,Spring onion soy paste soup,Pan-fried shrimp and vegetables,Seasoned salad with paprika in yuzu marinade,Pickled beet,empty,S homestyle banana milk,Steamed pearl barley rice,Bean sprout beef stew,Braised jukkumi in soy sauce,Braised anchovy and sweet napa cabbage,Water kimchi
136,Steamed black rice,Mini-ball rice cake seaweed soup,Seasoned salad with cold chicken,Seasoned salad with aubergine in marinade sauce,Water kimchi,S korean melon salad,empty,Japanese style beef over rice (kyudon),Fried tofu spring onion  soup,Vegetable croquette,Lotus root and black sesame salad,Radish kimchi cubes,empty,S banana shake,Steamed sorghum rice,Assorted mushroom stew,Stir-fried cuttlefish in spicy sauce,Stir-fried zucchini and dried shrimp,Cucumber kimchi
137,Steamed corn rice,Tofu salted shrimp soup or stew,Steamed eggs (30g),Seasoned salad with broccoli in sesame sauce,White kimchi,S raisin potato bowl,S homestyle blueberry milk,Pork and cabbage over rice,Fried tofu spring onion  soup,Pan-fried washed kimchi,empty,Pickled beet,S orange (50g),S rice punch,Steamed sweet rice,Unpressedtofu stew,(chilli powder-free) braised cutlassfish,Seasoned salad with sweet potato stem in soy paste,Water kimchi
138,Steamed sweet rice,Crushed tofu soy paste soup,Steamed eggs (40g),Lotus root and black sesame salad,Water kimchi,S apple (50g),S yoghurt (100ml),Japanese style beef over rice (kyudon),Fried tofu spring onion soup,Vegetable croquette,Seasoned salad with cabbage in yuzu marinade,Ponytail radish kimchi,S milk bread roll,S milk (100ml),Steamed sorghum rice,Beef stew(clear),Stir-fried cuttlefish and bokchoy,Braised potato,Cucumber kimchi
139,Steamed sweet rice,Oyster mushroom soup,Stir-fried tofu and vegetables in oyster sauce,Seasoned broccoli,Water kimchi,S mandarin (80g),S yoghurt (100ml),Pork and cabbage over rice,Egg spring onion soup,Pan-fried tuna with perilla leaves(rolled),empty,Pickled beet,S raisin potato bowl,S homestyle banana milk,Steamed corn rice,Mandu (dumpling) soup,Stir-fried jukkumi and vegetables in soy sauce,Seasoned salad with cucumber,White kimchi
140,Stir-fried rice with broccoli and vegetables,Young pumpkin soup(clear),Tofu tuna salad (yuzu dressing),Seasoned oyster mushroom,Water kimchi,empty,S milk (150ml),Steamed red bean rice,Mandu (dumpling) soup,Deep-fried chicken(meat only) nuggets,Braised burdock slices and konjac,Radish kimchi cubes,S yakult,S cheese stick,Steamed chestnut red bean sweet rice,Soy stew,Braised mackerel and daikon,Stir-fried zucchini and dried shrimp,Sweet napa cabbage watery kimchi
141,Steamed rice,Cold seaweed soup,Black soy tteokbokki (stir-fried rice cake),Seasoned salad with sweet potato stem in soy paste,Radish kimchi cubes,empty,S homestyle blueberry milk,Cream spaghetti,empty,Deep-fried chicken(meat only) nuggets,Cucumber and tomato salad (balsamic vinegar dressing),Pickled beet,S potato salad,S milk (100ml),Steamed sweet rice,Zucchini salted shrimp soup or stew,Barbequed pork belly and cuttlefish,Seasoned winter mushroom and chive,White kimchi
142,Steamed corn rice,Seaweed soup(clear),Soft tofu + marinade sauce,Seasoned salad with bean sprout,White kimchi,empty,S milk with misugaru (mixed grain powder),Pork and cabbage over rice,Spring onion soy paste soup,Vegetable croquette,Cabbage salad (lemon dressing),Young radish kimchi,S cheese stick,S orange juice (sugar-free),Steamed pearl barley rice,Mild chicken stew,Quail eggs boiled down in soy sauce,Steamed aubergine with marinade sauce,Water kimchi
143,Steamed sweet rice,Tofu soup(clear),Cheese scrambled eggs,Seasoned salad with sweet potato stem in soy paste,White kimchi,empty,S homestyle banana milk,Japanese style beef over rice (kyudon),Clear little neck clam soup,Vegetable croquette,Apple salad (balsamic vinegar dressing),Radish kimchi cubes,S raisin potato bowl,S milk (100ml),Steamed sorghum rice,Assorted mushroom stew,Stir-fried vegetables and neobiani,Seasoned salad with cucumber,Water kimchi
144,Steamed sorghum rice,Tofu soy paste soup,Braised chicken in soy sauce,Seasoned young pumpkin,Water kimchi,empty,S milk (200ml),Pork and cabbage over rice,Oyster mushroom soup,Fried fish paste nuggets,empty,Sweet radish kimchi,empty,S orange juice (sugar-free),Steamed sweet rice,Mandu (dumpling) soup,Steamed seafood and sweet pumpkin,Daikon and pear salad,Sweet napa cabbage watery kimchi
145,Steamed chestnut bean rice,Seaweed soup(clear),Braised pork roll with rice cake in soy sauce,Seasoned salad with sweet potato stem in soy paste,Water kimchi,S orange (50g),empty,Stir-fried rice with chicken and vegetables,Zucchini salted shrimp soup,Black soy tteokbokki (stir-fried rice cake),empty,Radish kimchi cubes,S raisin potato bowl,S homestyle strawberry milk,Steamed pearl barley rice,Mandu (dumpling) soup,Stir-fried jukkumi and vegetables in soy sauce,Beans cooked in soy sauce,Kohlrabi watery kimchi
146,Steamed black rice,Assorted fried fish cake soup,Scrambled eggs,Sedum and black sesame salad,Sweet radish kimchi,S watermelon (100g),empty,Rice with beans,Sujebi soup,Pan-fried beef,Seasoned salad with acorn jelly,White kimchi,empty,S homestyle blueberry milk,Steamed red bean rice,Sweet pumpkin salted shrimp soup,Stir-fried chicken in soy sauce without bones,Seasoned cabbage,White kimchi
147,Beef rice balls,Anchovy soy paste soup,Braised potato,Cabbage salad (sesame dressing),Water kimchi,S rice cracker,S milk with misugaru (mixed grain powder),Steamed brown rice,Bokchoy soup,Stir-fried beef tenderloin and mushroom,Seasoned salad with paprika in yuzu marinade,White kimchi,S milk bread roll,S orange juice,Steamed mixed-grain rice,Kimchi soup,Braised pork in soy sauce,Seasoned cucumber,Kohlrabi watery kimchi
148,Steamed sweet rice,Oyster mushroom soup,Scrambled eggs with soft crab,Seasoned salad with broccoli in sesame sauce,Water kimchi,empty,S milk (150ml),Barbequed beef rice bowl with fried tofu,Soy paste soup,Vegetable croquette,Seasoned salad with korean melon and overripe cucumber,Pickled beet,empty,S tomato juice,Steamed sorghum rice,Mandu (dumpling) soup,Stir-fried beef and tomato,Braised burdock slices and konjac,White kimchi
149,Steamed rice,Seaweed fulvescens tofu soup,Grilled mackerel in curry(fielet),Stir-fried dried shrimp and zucchini,White kimchi,S tangerine (50g),S yoghurt (100ml),Japanese style beef over rice (kyudon),Mini-udon (white wheat noodles),Corn salad (olive oil dressing),empty,Pickled beet,S cheese stick,S homestyle blueberry milk,Steamed rice,Assorted mushroom stew,Stir-fried octopus and vegetables,Seasoned cabbage,Cucumber kimchi
150,Steamed sweet rice,Oyster mushroom soup,Rolled omelette with salted seaweed,Seasoned broccoli,Water kimchi,S strawberry (100g),S rice punch,Deluxe rice with pyogo mushroom and chwinamul,Zucchini soup(clear),Stir-fried jukkumi and vegetables in soy sauce,empty,White kimchi,S milk (200ml),S raisin potato bowl,Steamed corn rice,Mandu (dumpling) unpressed tofu stew,Stir-fried chicken and bokchoy,Seasoned salad with bean sprout,Radish kimchi cubes
151,Steamed sweet rice (add),Mini-ball rice cake seaweed soup,Stir-fried zucchini and dried shrimp,Braised burdock slices and konjac,Water kimchi,S apple (35g),S yoghurt (100ml),Beef and aubergine over rice,Brown kelp and potato soup,Vegetable croquette,Cabbage salad,Radish kimchi cubes,S milk (100ml),S banana (50g),Steamed sweet potato rice (40),Mandu (dumpling) soup,Braised halibut and daikon,Seasoned oyster mushroom,Sweet napa cabbage watery kimchi
152,Steamed red bean rice (30),Mandu (dumpling) soup,Stir-fried dried shrimp and zucchini,Seasoned winter cabbage,White kimchi,S homestyle banana milk,S steamed potato,Curried rice with chicken and potato + marinade sauce,Fried tofu soup,Fusilli salad,empty,Radish kimchi cubes,S cheese stick,S tomato juice,Steamed chestnut bean rice,Tofu soup,Braised cod,Seasoned salad with broccoli in red chilli paste with vinegar,Water kimchi
153,Steamed sweet rice,Oyster mushroom soup,Three-color steamed eggs,Braised black beans and walnut,Water kimchi,S snow white rice cake,S orange juice,Japanese style beef over rice (kyudon),Young pumpkin soup(clear),Seasoned salad with acorn jelly and vegetables,empty,Radish kimchi cubes,S sweet potato shake,S soft tofu salad (oriental dressing),Steamed sorghum rice (30),Skewered fish cake soup,Grilled spanish mackerel in curry,Seasoned salad with cucumber and apple,White kimchi
154,Steamed red bean rice (40),Chicken daikon soup,Stir-fried zucchini and dried shrimp,Seasoned carrot and green bean sprout,Radish kimchi cubes,S egg carrot porridge,S solomon's seal tea,Beef and aubergine over rice,Clear napa cabbage soup,Seasoned salad with lettuce and acorn jelly and vegetables,empty,Radish watery kimchi,S homestyle banana milk,S cheese stick,Steamed chestnut bean rice,Tofu konjac soup,Parboiled cuttlefish and broccoli,Stir-fried potato and paprika,Water kimchi
155,Steamed sweet barley rice (30),Daikon soy paste soup,Scrambled eggs,Stir-fried potato(shredded),White kimchi,S pollack porridge,empty,Chicken-mayo rice bowl,Napa cabbage soup with glass noodles,Sweet and sour shiitake mushroom,S orange (100g),Kohlrabi watery kimchi,S homestyle blueberry milk,S korean melon (100g),Steamed corn rice,Young pumpkin soup,Steamed pork rib,Seasoned salad with cucumber and chicory,Water kimchi
156,Steamed sweet rice (30),Mandu (dumpling) soup,Stir-fried tofu and vegetables in oyster sauce,Seasoned young pumpkin,White kimchi,S steamed potato,S milk (100ml),Pork and cabbage over rice,Oyster mushroom soup,Seasoned salad with vegetables and spicy chewy noodles,empty,Radish kimchi cubes,S homestyle banana milk,S cheese stick,Steamed corn rice (30),Chicken stew,Stir-fried tuna and sweet pepper,Steamed aubergine with marinade sauce,Sweet napa cabbage watery kimchi
157,Steamed sweet rice (add),Clam soy paste stew,Stir-fried dried shrimp and zucchini,Seasoned carrot and green bean sprout,Water kimchi,S steamed corn,S milk (200ml),Steamed sweet rice and red bean,Mandu (dumpling) soup,Pineapple dumpling + sauce,Macaroni cucumber salad,Pickled beet,S walnut milk,S apple (50g),Steamed red bean rice (30),Assorted mushroom stew,Barbequed pork belly and cuttlefish (mild flavor),Lettuce-wraps,Ponytail radish kimchi
158,Rice with beans (40),Potato dough soup,Steamed eggs with vegetables,Seasoned salad with sweet potato stem in soy paste,Water kimchi,S carrot and tofu snack,S rice-based beverage,Japanese style beef over rice (kyudon),Oyster mushroom soup,Lettuce salad,empty,Radish kimchi cubes,S homestyle banana milk,S cheese stick,Steamed sweet rice,Tofu shabu-shabu,Chicken chop steak,Seasoned salad with aubergine in marinade sauce,White kimchi
159,Steamed sweet rice (add),Mandu (dumpling) soup,Steamed eggs (30g),Stir-fried zucchini,Water kimchi,empty,S milk with misugaru (mixed grain powder),Beef and aubergine over rice,Napa cabbage soup with glass noodles,Deep-fried spring rolls,Lettuce salad,Radish kimchi cubes,S orange juice,S macaroni and vegetable salad,Steamed red bean rice (30),Pork back-bone stew,Royal-style stir-fried rice cake,Seasoned salad with bean sprout,Sweet napa cabbage watery kimchi
160,Steamed corn rice (30),Maesaengyi soup,Fried eggs,Seasoned salad with sweet potato stem in soy paste,Water kimchi,empty,S walnut milk,Pork and cabbage over rice,Zucchini soup(clear),Tofu salad,empty,Radish kimchi cubes,S sweet pumpkin rice punch,S potato raisin salad,Steamed sweet rice,Bean sprout soup,Braised beef ribs,Seasoned salad with paprika in yuzu marinade,Radish kimchi cubes
161,Steamed sweet rice (add),Bean powder summer radish soy paste soup,Pan-fried ham tuna and vegetables,Stir-fried dried shrimp and zucchini,White kimchi,S banana (100g),S tomato juice,Japanese style beef over rice (kyudon),Old pumpkin soup,Pan-fried mushroom,Apple salad,Pickled cucumber,S homestyle blueberry milk,S raisin potato bowl,Steamed pearl barley rice (40),Mandu (dumpling) soup,Braised atka mackerel in teriyaki sauce,Seasoned spinach,Radish kimchi cubes
162,Steamed corn rice,Chive shellfish soup,Braised meat ball,Seasoned salad with sweet potato stem in soy paste,White kimchi,S strawberry (100g),S milk (200ml),Pork and cabbage over rice,Oyster mushroom soup,Roasted chicken drumstick,empty,Water kimchi,S rice punch,S sweet potato salad (mayonnaise),Steamed sweet rice,Tofu shabu-shabu,Stir-fried jukkumi and vegetables in soy sauce,Seasoned salad with soft crab and bean sprout,White kimchi
163,Steamed chestnut red bean sweet rice (40),Sliced potato soup,Pan-fried winter mushroom with eggs,Seasoned salad with broccoli in soy paste,White kimchi,S carrot soup,S apple (35g),Curried rice with pork,Brown kelp and soup,Macaroni and vegetable salad (mayonnaise),Steamed mandu (dumpling),Radish kimchi cubes,S hard boiled egg (50g),S black sesame soy milk (200ml),Steamed sweet potato rice,Non-spicy kimchi soup,Braised chicken drumsticks and beef in soy sauce,Seasoned green bean sprout and winter celery,Water kimchi
164,Steamed rice,Dried pollack daikon soup,Steamed tofu + marinade sauce,Seasoned salad with sedum in yuzu marinade,Napa cabbage kimchi,S strawberry (100g),S homestyle banana milk,Stir-fried rice with chicken and vegetables,Spring onion salted seaweed soup,Potato gratin,empty,Radish kimchi cubes,S cheese stick,S milk (100ml),Steamed sweet rice,Mandu (dumpling) soup,Stir-fried jukkumi and vegetables in soy sauce,Seasoned perilla leaf,White kimchi
165,Steamed sweet rice and brown rice,Zucchini salted shrimp soup,Pan-fried vegetables with crushed tofu,Seasoned napa cabbage,Water kimchi,S soft tofu salad (oriental dressing),S homestyle blueberry milk,Pork and cabbage over rice,Soy paste soup,Seasoned salad with broccoli and cuttlefish,empty,Radish kimchi cubes,S fried mandu (dumpling),S rice punch,Steamed pearl barley rice,Crab soup(clear),Stir-fried barbequed beef and mushroom,Lettuce-wraps,White kimchi
166,Steamed corn rice (40),Soft tofu bokchoy shrimp soup,Scrambled eggs with vegetables,Seasoned cucumber,White kimchi,S banana (100g),S milk (100ml),Beef rice ball with seaweed flakes,Oyster mushroom soup,Seasoned salad with cuttlefish and pickled daikon,empty,Sweet napa cabbage watery kimchi,S croquette,S milk (200ml),Steamed sorghum rice (40),Sujebi with pumpkin and potato,Stir-fried chicken in black soy,Seasoned salad with dried cuttlefish,Radish kimchi cubes
167,Steamed sorghum rice (40),Zucchini  soup,Braised sweet potato and quail eggs,Seasoned salad with chwinamul in soy paste,Radish kimchi cubes,S napa cabbage mushroom porridge,empty,Steamed potato rice,Bean sprout beef stew,Stir-fried chicken in soy sauce without bones,Seasoned salad with paprika and apple in vinegar marinade,White kimchi,S fruit salad (mayonnaise),S milk with misugaru (mixed grain powder),Steamed sweet rice,Fried fish paste soup(clear),Braised korean kebab in soy sauce,Seasoned winter cabbage,Water kimchi
168,Steamed sorghum rice (30),Soy puree soup,Stir-fried sausage and sweet pepper,Seasoned salad with sweet potato stem in soy paste,Sweet napa cabbage watery kimchi,S broccoli soup,S orange juice (sugar-free),Japanese style beef over rice (kyudon),Oyster mushroom soup,Cucumber salad,Chicken skewers,Radish kimchi cubes,S boiled sweet potato,S milk (100ml),Steamed sweet rice,Corn soup,Shrimp cutlet,Cabbage salad,Pickled beet
169,Rice (extra),Radish soup,Stir-fried chicken(meat only) and paprika,Seasoned salad with crown daisy and tofu,White kimchi,S apple (50g),S milk (150ml),Beef and aubergine over rice,Mushroom soup,Seasoned salad with konjac and kimchi,empty,Radish kimchi cubes,S grilled rice cake,S sweet pumpkin rice punch,Steamed chestnut bean rice,Dried shrimp soup,Grilled mackerel,Seasoned bokchoy,Water kimchi
170,Steamed chestnut red bean sweet rice (40),Shredded dried pollack soup,Grilled tofu + marinade sauce,Seasoned salad with broccoli in soy paste,Water kimchi,S grape tomato(35g),S milk (200ml),Curried rice with pork,Spring onion egg  soup,Green salad,empty,Radish kimchi cubes,S steamed sweet potato,S homestyle banana milk,Steamed sweet rice,Mung bean jelly soup,Stir-fried smoked duck,Seasoned saesongyi mushroom,Young radish water kimchi
171,Rice (extra),Yangsongyi mushroom soy paste soup,Steamed eggs with sweet pumpkin,Seasoned curled mallow,Ponytail radish kimchi,S sweet potato dango,S yuzu tea,Steamed sweet rice,Maesaengyi mussel soup,Steamed beef with rice cake,Seasoned salad with broccoli shrimp and sesame,Pickled beet,S raisin potato bowl,S peach walnut smoothie,Steamed red bean rice (30),Mushroom shabu-shabu,Seasoned salad with dried cuttlefish and dried radish,Sedum and black sesame salad,Water kimchi
172,Steamed sweet rice (add),Short-necked clam soup,Soft steamed tofu,Seasoned cabbage and soft crab,Pickled beet,S red bean porridge,S yuzu tea,Steamed brown sweet rice,Seafood soup,Deep-fried chicken,Seasoned salad with chicory in yuzu marinade,Water kimchi,S pan-fried sweet pumpkin,S milk (200ml),Steamed sweet rice (30),Sujebi soup,Pan-grilled egg-coated beef (sweet rice),Seasoned salad with dried radish,Sweet napa cabbage watery kimchi
173,Steamed rice (30),Zucchini soup(clear),Korean beef pancake with tofu and vegetables,Stir-fried dried shrimp and zucchini,White kimchi,S banana (50g),S rice punch,Japanese style beef over rice (kyudon),Oyster mushroom soup,Pan-fried tuna with perilla leaves,Seasoned salad with winter herbs,Radish kimchi cubes,S steamed sweet potato,S homestyle strawberry milk,Steamed chestnut bean rice,Potato onion soup,Stir-fried pork belly and kimchi,Daikon and pear salad,Water kimchi
174,Steamed pearl barley rice (30),Zucchini salted shrimp soup or stew,Stir-fried chicken breast with three-color paprika,Seasoned winter mushroom,Water kimchi,S pine nut sweet rice porridge,S milk (100ml),Beef vegetable fried rice,Cold bean sprout soup(kelp stock),Parboiled cuttlefish + yuzu sauce,empty,Pickled beet,S fried mandu (dumpling),S homestyle blueberry milk,Steamed sweet rice and red bean,Fried fish ball paste soup,Braised atka mackerel in teriyaki sauce,Seasoned salad with broccoli in sesame sauce,White kimchi
175,Steamed sweet rice,Bean sprout soup,Rolled omelette with vegetables,Seasoned spring cabbage,Water kimchi,S snow white rice cake,S milk (100ml),Curried rice,Bean powder mugwort  soup,Braised chicken wings,Seasoned salad with cabbage and cucumber,Radish kimchi cubes,S strawberry (100g),S homestyle banana milk,Steamed red bean rice (30),Unpressedtofu stew,Grilled corvina,Seasoned broccoli,White kimchi
176,Steamed corn rice (30),Clear cabbage soup,Grilled halibut(fielet),Seasoned herbs with aubergine,Water kimchi,S raisin potato bowl,S milk (200ml),Stir-fried rice with bacon and vegetables,Soy paste soup,Fried mandu (dumpling),Assorted fruit salad,Radish kimchi cubes,S acorn jelly soup,S orange juice,Steamed sweet rice,Pollack(fielet) soup,Braised meat ball and vegetables,Daikon and pear salad,Water kimchi
177,Steamed sweet potato rice (40),Cod soup,Braised tofu in marinade sauce,Seasoned young pumpkin,White kimchi,S sweet persimmon (50g),S milk (200ml),Curried rice with pork,Soy paste soup,Vegetable croquette,Soft tofu salad (oriental dressing),Radish kimchi cubes,S jujube milk soup,S sweet pumpkin rice punch,Steamed pearl barley rice,Crab soup,Pork stir-fried with black bean paste,Seasoned bokchoy,Water kimchi
178,Steamed sorghum rice (30),Bokchoy soup,Rolled omelette,Seasoned green bean sprout,White kimchi,S red bean porridge,S milk (100ml),Beef rice balls,Sujebi soup with sweet pumpkin,Tofu tuna salad (yuzu dressing),empty,Radish kimchi cubes,S raisin potato bowl,S milk with misugaru (mixed grain powder),Steamed mixed-grain rice (40),Brown kelp and salted shrimp soup,Braised beef in soy sauce,Oi-sobagi,Radish kimchi cubes
179,Steamed corn rice (30),Zucchini salted shrimp stew,Braised meat ball,Seasoned salad with sweet potato stem in soy paste,Water kimchi,S soft tofu salad (oriental dressing),S yakult,Beef omelet rice,Oyster mushroom soup,Tofu tuna salad (yuzu dressing),empty,Radish kimchi cubes,S aglio e olio spaghetti,S milk (150ml),Steamed sweet rice,Cuttlefish soup(clear),Rolled omelette with perilla leaves,Seasoned salad with daikon and seaweed,White kimchi
