,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
131,Steamed sweet rice (add),Brown kelp and potato soup,Rolled omelette,Seasoned salad with salted seaweed,White kimchi,S sesame milk soup,empty,Beef vegetable fried rice,Tofu seaweed soy paste soup,Macaroni and vegetable salad (tomato sauce),empty,Radish kimchi cubes,S rainbow rice cake,S rice punch,Steamed brown rice (30),Pollack daikon soup,Pan-fried meat ball,Seasoned curled mallow,Young radish water kimchi
132,Steamed sweet potato rice (30),Clam and chive soup(clear),Braised potato,Stir-fried spring parsley,Cucumber kimchi,S milk porridge,empty,Beef and aubergine over rice,Spring onion egg  soup,Sweet potato mattang with black sesame,empty,Pickled korean style daikon,S apple pie,S homestyle banana milk,Steamed corn rice,Mild soy puree stew,Braised spicy chicken without bones,Seasoned winter cabbage,White kimchi
133,Steamed brown rice,Pork shoulder kimchi soup,Rolled omelette with aubergine,Salted sea lettuce,Radish kimchi cubes,empty,S black sesame soy milk (100ml),Rice with beans,Whole chicken soup,Pan-fried seafood and spring cabbage,Seasoned salad with winter cabbage,Young radish kimchi,Dried persimmon,S sweet pumpkin rice punch,Deluxe rice with pyogo mushroom and chwinamul,Curled mallow and river snail soup,Neobiani salad,Stir-fried soft crab and carrot,Water kimchi
134,Steamed rice,Little neck clam soy paste soup,Braised eggs in soy sauce,Seasoned salad with paprika in yuzu marinade,Radish kimchi cubes,S milk with misugaru (mixed grain powder),S homestyle blueberry milk,Steamed sorghum rice,Cuttlefish green bean sprout soup,Stir-fried chicken in soy sauce without bones,Seasoned salad with paprika in vinegar marinade,Radish kimchi cubes,S milk with misugaru (mixed grain powder),S tomato juice,Steamed chestnut bean rice,Spring onion egg  soup,Mini pork cutlet,Cabbage and cucumber salad,Radish kimchi cubes
135,Steamed sweet rice (add),Mandu (dumpling) soup,Stir-fried zucchini,Seasoned herbs with aubergine,Napa cabbage kimchi,empty,S milk with misugaru (mixed grain powder),Beef and aubergine over rice,Fried tofu soup,Sweet pumpkin nuts salad,empty,Radish kimchi cubes,S milk (100ml),S croquette,Steamed red bean rice (30),Mandu (dumpling) soup,Shrimp dumpling,Seasoned salad with acorn jelly,Napa cabbage kimchi
136,Steamed sorghum rice (40),Green bean sprout soup,Steamed eggs with salted pollack roe,Stir-fried winter mushroom,Water kimchi,S almond,S yoghurt (100ml),Steamed sweet rice and red bean,Yangsongyi mushroom soup,Chicken cutlet,Lettuce salad (oriental dressing),Radish watery kimchi,S banana pancake,S sweet pumpkin rice punch,Steamed chestnut bean rice,Daikon soy paste soup,Barbequed pork and bean sprout,Seasoned salad with sea lettuce,Napa cabbage kimchi
137,Steamed sweet rice (add),Brown kelp daikon soup,Pan-fried ham tuna and vegetables,Seasoned salad with aubergine in marinade sauce,White kimchi,S milk with misugaru (mixed grain powder),empty,Sweet pumpkin deluxe rice,Short-necked clam(shell-less) soup,Barbequed pork belly and cuttlefish,empty,Kohlrabi watery kimchi,S pan-fried vegetables,S rice punch,Steamed sorghum rice,Tofu kimchi stew,Steamed corvina,Seasoned broccoli,Pickled beet
138,Steamed sweet rice (30),Tofu kimchi soup,Steamed eggs with three-color vegetables,Seasoned daikon and perilla seed,Young radish water kimchi,S homestyle banana milk,empty,Pork and vegetables over rice,Sweet napa cabbage soy paste soup,Deep-fried crispy lotus root,empty,Radish kimchi cubes,S banana pancake,S milk (100ml),Steamed mixed-grain rice,Freshwater snail soy paste soup,Braised chicken and beef in soy sauce with rice cake,Seasoned green bean sprout and winter celery,Napa cabbage kimchi
139,Steamed pearl barley rice (30),Perilla seed mushroom soup,Ketchup-braised viennasausage,Seasoned spinach,Radish kimchi cubes,S homestyle blueberry milk,empty,Beef and aubergine over rice,Seaweed soup,Roasted pork with miso,empty,Pickled beet,empty,S milk (100ml),Steamed sweet rice,Mandu (dumpling) soup,Grilled spanish mackerel in curry,Seasoned salad with paprika in yuzu marinade,Water kimchi
140,Steamed rice with black beans (40),Spring onion bean sprout soup,Stir-fried potato(shredded),Fresh kimchi with spring parsley,Water kimchi,S broccoli porridge,empty,Beef and aubergine over rice,Dried bonito soy paste soup,Seasoned salad with lettuce and acorn jelly and vegetables,empty,Young radish water kimchi,S raisin potato bowl,S milk with misugaru (mixed grain powder),Steamed sweet rice,Tofu soup,Pork stir-fried with black bean paste,Cabbage salad (lemon dressing),Sweet radish kimchi
141,Steamed chestnut red bean sweet rice,Shepherd's purse soy paste soup,Scrambled eggs,Seasoned salad with green bean sprout and soft crab,Napa cabbage kimchi,S milk (100ml),S yoghurt (100ml),Chicken-mayo rice bowl,Seaweed miso soup,Sweet potato mattang in yuzu sauce,empty,Napa cabbage kimchi,S milk (100ml),S sweet red bean bun,Steamed corn rice,Green onion daikon soup,Steamed pork rib and potato,Seasoned salad with winter cabbage,Water kimchi
142,Steamed pearl barley rice,Dried mussel soup,Pan-fried vegetables with crushed tofu,Fresh kimchi winter cabbage,Radish kimchi cubes,S homestyle strawberry milk,empty,Steamed corn rice,Stir-fried seafood udon (white wheat noodles),Seasoned salad with broccoli in black sesame sauce,empty,Young radish water kimchi,S cheese stick,S grape juice,Steamed sweet rice and red bean,Mandu (dumpling) chicken stew,Stir-fried jukkumi and vegetables in soy sauce,Seasoned salad with sweet potato stem in soy paste,Radish kimchi cubes
143,Steamed corn rice (30),Mushroom beef soup,Stir-fried soft crab and paprika,Seasoned aubergine and perilla seed,Water kimchi,S almond,S yoghurt (100ml),Steamed sweet rice and red bean,Zucchini soup(clear),Pan-fried mung bean and kimchi,empty,Pickled beet,S rainbow rice cake,S sweet pumpkin rice punch,Steamed chestnut red bean sweet rice,Bean sprout beef stew,Stir-fried jukkumi and vegetables in soy sauce,Daikon and pear salad,Young radish water kimchi
144,Rice (extra),Oyster tofu soup,Braised chicken(breast) in teriyaki sauce,Seasoned winter mushroom,White kimchi,S raisin potato bowl,empty,Steamed mixed-grain rice (40),Octopus soup,Braised pork and sweet pumpkin,Stir-fried zucchini,Kohlrabi watery kimchi,S potato salad,S rice punch,Soy-based shrimp rice bowl,Soy paste soup,Sausage rice cake skewers,empty,Water kimchi
145,Steamed corn rice (30),Seaweed mandu (dumpling) soup,Steamed eggs (40g),Seasoned curled mallow,Ponytail radish kimchi,S banana (50g),S milk (100ml),Chicken tomato rice bowl,Fried tofu winter mushroom soup,Lettuce salad (balsamic vinegar dressing),empty,Radish kimchi cubes,S pan-fried lotus root,S mango juice,Steamed pearl barley rice,Carrot soup,Barbequed pork chops,Seasoned salad with cucumber and soft crab,Radish kimchi cubes
146,Steamed rice (30),Red bean porridge,Pan-fried meat ball,Seasoned oyster mushroom,Radish watery kimchi,S apple (50g),empty,Bibimbap with butter and braised beef in soy sauce,Spring onion soy paste soup,Seasoned salad with soft crab and vegetables in vinegar marinade,empty,Napa cabbage kimchi,S cheese stick,S sweet pumpkin rice punch,Steamed sweet rice,Chicken stew,Seasoned salad with cuttlefish in vinegar marinade,Seasoned spinach,Napa cabbage kimchi
147,Steamed corn rice (40),Mung bean jelly soup,Ketchup-braised viennasausage,Seasoned young pumpkin,Young radish water kimchi,S apple (50g),S milk (100ml),Steamed sweet rice,Broccoli soup,Pork cutlet+sauce( sirloin),Cabbage salad,Radish kimchi cubes,S sweet pumpkin steamed rice cake,S yakult,Steamed sweet rice,Mandu (dumpling) soup,Pan-fried brown kelp and potato,Daikon and pear salad,Water kimchi
148,Steamed red bean rice (30),Young pumpkin soup(clear),Stir-fried anchovy and sweet pepper,Seasoned salad with sweet potato stem in soy paste,Water kimchi,S homestyle blueberry milk,empty,Stir-fried rice with white kimchi,Perilla seed mushroom soup,Pan-fried vegetables and cuttlefish dumpling,empty,Pickled beet,S fried mandu (dumpling),S milk (150ml),Steamed pearl barley rice,Short rib beef soup(plate),Braised alaska pollock,Cucumber chive salad,Radish kimchi cubes
149,Steamed sorghum rice (40),Clear cabbage soup,Stir-fried pork and paprika,Seasoned salad with dried sea lettuce,Napa cabbage kimchi,S steamed sweet potato,empty,Beef and aubergine over rice,Oyster mushroom soup,Vegetable croquette,Sprout salad,Radish kimchi cubes,S egg toast,S milk (100ml),Steamed sweet rice,Beef radish soup,Barbequed pork belly and cuttlefish,Seasoned winter mushroom,White kimchi
150,Steamed sorghum rice,Sweet napa cabbage soy paste soup,Steamed eggs with milk and vegetables,Cabbage salad (sesame dressing),Radish kimchi cubes,S yoghurt (100ml),empty,Rice with beans,Dried pollack daikon soup,Braised chicken in tomato sauce,Fresh kimchi with chicory,Napa cabbage kimchi,S milk with misugaru (mixed grain powder),empty,Rice with beans,Kimchi soup,Stir-fried beef and green bean sprout,Seasoned salad with brown kelp slices,Radish kimchi cubes
151,Steamed red bean rice (30),Napa cabbage soup(clear),Stir-fried potato and fried fish paste,Seasoned salad with sweet potato stem in soy paste,Ponytail radish kimchi,S homestyle strawberry milk,empty,Pork and cabbage over rice,Tofu shabu-shabu,Braised meat ball and paprika,Mixed noodles with vegetables,Water kimchi,S half-moon rice cake,S sweet pumpkin rice punch,Rice with beans,Assorted mushroom stew,Roasted pork,Seasoned salad with cucumber in soy red chilli paste,Radish kimchi cubes
152,Steamed corn rice (30),Dried radish leaf soy paste soup,Seasoned salad with dried pollack slices,Sweet potato stem with herbs,Radish kimchi cubes,S blueberry (50g),S yoghurt (100ml),Pork and cabbage over rice,Oyster mushroom soup,Braised pork roll with rice cake in soy sauce,empty,Radish kimchi cubes,S milk (100ml),S sweet potato salad (mayonnaise),Steamed sweet rice,Tofu shabu-shabu,Stir-fried jukkumi and vegetables in soy sauce,Seasoned curled mallow,Napa cabbage kimchi
153,Steamed chestnut bean rice (30),Seaweed fulvescens tofu soup,Steamed eggs (30g),Daikon and pear salad,Napa cabbage kimchi,S apple (50g),empty,Pork and cabbage over rice,Sakhalin surf-clam soup,Pan-fried dried shrimp and curled mallow,empty,Radish kimchi cubes,S sweet pumpkin steamed rice cake,S milk (100ml),Steamed sweet rice,Mandu (dumpling) soup,Steamed chicken in soy sauce,Seasoned salad with cucumber and bokchoy,Radish kimchi cubes
154,Steamed mixed-grain rice (30),Tofu egg soup,Stir-fried chicken in oyster sauce,Seasoned young pumpkin,Young radish water kimchi,S cheese,empty,Pork and cabbage over rice,Mung bean jelly soup,Stir-fried jukkumi and vegetables in soy sauce,Fresh kimchi with chicory,Water kimchi,S soy-based tteokbokki (stir-fried rice cake),S orange juice,Steamed sweet rice,Mild chicken stew,Stir-fried three-color potato,Salted seaweed,Cucumber kimchi
155,Steamed sweet rice,Unpressed soup (mild flavor),Omelette with cheese,Cabbage salad (lemon dressing),Young radish water kimchi,S apple (50g),S rice punch,Stir-fried rice beef in oyster sauce,Crap soup,Deep-fried cuttlefish rings,Macaroni and vegetable salad (mayonnaise),Sweet radish kimchi,Dried persimmon,S rice punch,Steamed chestnut bean rice,Winter mushroom soup,Spicy stir-fried chicken,Pan-fried potato and lotus root,Ponytail radish kimchi
156,Steamed brown rice,Pork shoulder kimchi soup,Steamed eggs with maesaengyi,Bean sprout and mung bean jelly salad,Perilla leaf kimchi,S cheese,S milk with misugaru (mixed grain powder),Deluxe rice with pyogo mushroom and chwinamul,Curled mallow and river snail soup,Pan-fried seafood and spring cabbage,Stir-fried sweet potato stem,Young radish kimchi,S baram rice cake (with bean paste) (40g),S sweet pumpkin rice punch,Steamed sweet rice,Whole chicken soup,Seasoned salad with winter cabbage,Seasoned salad with sweet potato stem in soy paste,Water kimchi
157,Steamed sweet rice,Shepherd's purse bean sprout soy paste soup,Stir-fried bacon and paprika,Seasoned herbs with aubergine,Radish kimchi cubes,S cheese cake,S orange juice (sugar-free),Steamed pearl barley rice,Clam soy paste stew,Roasted smoked duck with vagetable,Seasoned winter cabbage,Radish kimchi cubes,S watermelon (100g),S walnut milk,Steamed sweet rice and red bean,Pork back-bone stew,Braised korean kebab in soy sauce,Seasoned salad with spring parsley in soy sauce,Napa cabbage kimchi
158,Steamed sweet potato rice (30),Short rib beef soup + glass noodles,Pan-fried beef and maesaengyi,Seasoned perilla leaf,Napa cabbage kimchi,S raisin potato bowl,empty,Beef and aubergine over rice,Egg spring onion soup,Steamed mandu (dumpling),empty,Radish kimchi cubes,S muffin,S raisin potato bowl,Steamed pearl barley rice,Clam soy paste stew,Stir-fried pork and lotus root with glass noodles,Stir-fried winter mushroom,Ponytail radish kimchi
159,Steamed sweet rice (30),Oyster mushroom soup,Braised pork roll with rice cake in soy sauce,Seasoned daikon,Water kimchi,S banana (50g),S milk with misugaru (mixed grain powder),Japanese style beef over rice (kyudon),Fried tofu miso soup,Vegetable croquette,Tomato cheese salad,Radish kimchi cubes,S banana apple kiwi salad,S sweet pumpkin rice punch,Steamed red bean rice (30),Tofu shabu-shabu,Beef japchae,Seasoned salad with bean sprout,Ponytail radish kimchi
160,Steamed red bean rice,Clear little neck clam soup,Stir-fried chicken and bokchoy,Seasoned winter mushroom,Napa cabbage kimchi,S korean melon (100g),empty,Steamed chestnut bean rice,Tofu shabu-shabu,Roasted pork roll with vagetables,Bracken,Napa cabbage kimchi,empty,S homestyle blueberry milk,Steamed sweet rice,Potato seaweed soup,Lettuce salad (kiwi dressing),empty,Radish kimchi cubes
161,Steamed corn rice,Kimchi tofu soup,Stir-fried chive and eggs,Seasoned salad with bean sprout,Radish kimchi cubes,S raisin potato bowl,S homestyle blueberry milk,Steamed pearl barley rice,Spring onion salted seaweed soup,Roasted chicken drumstick,Cabbage corn salad,Napa cabbage kimchi,empty,S milk (100ml),Steamed sweet rice,Sakhalin surf-clam and seaweed soup,Grilled atka mackerel in yuzu marinade,"Seaseond mungbean jelly, green bean sprouts, and roasted seaweed",Napa cabbage kimchi
162,Steamed corn rice,Sweet pumpkin daikon soup,Grilled meat ball,Seasoned salad with spinach and salted seaweed,Napa cabbage kimchi,empty,S milk (100ml),Pork rice bowl with stir-fried vegetables,Mushroom soy paste soup,Grilled fish cake + ketchup,Seasoned salad with bean sprout,Radish kimchi cubes,empty,S homestyle banana milk,Steamed sweet rice,Winter cabbage soup,(chilli powder-free) braised cutlassfish,Seasoned salad with sweet potato stem in soy paste,Water kimchi
163,Steamed sweet rice (add),Soft tofu shrimp soup,Braised burdock slices and konjac,Seasoned salad with spring parsley,Water kimchi,S milk (100ml),empty,Stir-fried rice with eggs and lotus root,Octopus soup,Deep fried vegetables (sweet potato),empty,Pickled beet,S sweet red bean bun,S homestyle blueberry banana milk,Steamed sorghum rice (30),Short rib beef soup,Pan-fried kimchi (mild),Seasoned salad with sweet potato stem in soy paste,Radish kimchi cubes
164,Rice with beans,Curled mallow soup(clear),Pan-fried winter mushroom with eggs,Seasoned salad with deodeok and apple,Radish kimchi cubes,S blueberry (50g),S milk (100ml),Spinach beef over rice,Green bean sprout miso paste soup,Sausage rice cake skewers,Cabbage salad in yuzu marinade,Pickled beet,S sweet persimmon (50g),S hot chocolate,Steamed pearl barley rice,Bean sprout beef stew,Grilled pork and sweet rice (soy sauce),Braised vegetables and fried fish paste bowl,Ponytail radish kimchi
165,Steamed red bean rice,Brown kelp and potato soup,Braised chicken(breast) in teriyaki sauce,Tomato cheese salad,Pickled beet,S sweet pumpkin rice punch,empty,Steamed sweet rice,Mushroom soup,Seasoned salad with broccoli and cuttlefish,Seasoned green bean sprout and carrot,Napa cabbage kimchi,S nectarine -80g,S yakult,Japanese style beef over rice (kyudon),Mini udon with fried tofu,Fried mandu (dumpling),Seasoned salad with sweet potato stem in soy paste,Pickled cucumber
166,Steamed chestnut bean rice (40),Bean sprout soup,Soy sauce-based pork bulgogi,Seasoned salad with chard,Water kimchi,S homestyle blueberry milk,empty,Rice with beans,Cabbage mild seafood noodle soup,Braised spicy chicken without bones,Fresh kimchi winter cabbage,Radish kimchi cubes,S potato salad,S milk (200ml),Steamed chestnut bean rice,Fried tofu miso soup,Braised chicken(breast) in teriyaki sauce,Pan-fried potato and chive,Napa cabbage kimchi
167,Steamed black rice,Potato soup,Ketchup-braised pork,Stir-fried zucchini,Radish kimchi cubes,S orange (50g),S misugaru (mixed grain powder),Rice with beans,Wild chive soy paste soup,Stir-fried jukkumi and,Deep-fried brown kelp(sweet rice),Cucumber kimchi,empty,S sweet potato shake,Stir-fried rice with cheese and vegetables,Unpressed soup (mild flavor),Roasted potato with butter,Seasoned salad with chwinamul in soy paste,Radish kimchi cubes
168,Steamed sweet rice (add),Tofu miso soup,Braised meat ball and paprika,Seasoned salad with sweet potato stem in soy paste,Cucumber kimchi,S soft crab porridge,empty,Bibimbap with summer radish,Young pumpkin soup(clear),Vegetable croquette,empty,Radish kimchi cubes,S orange (50g),S milk (200ml),Steamed red bean rice,Pork back-bone stew,Pan-fried winter mushroom with eggs,Steamed bean sprout,Young radish water kimchi
169,Steamed sorghum rice (30),Egg mugwort soup,Braised meat ball and paprika,Seasoned salad with sweet potato stem in soy paste,White kimchi,S (low-sugar) cereal,S milk (100ml),Stir-fried rice with broccoli and vegetables,Sweet napa cabbage soy paste soup,Steamed sweet pumpkin and roasted smoked duck,Macaroni corn salad,Pickled beet,S strawberry jam bread,empty,Steamed chestnut bean rice,Beef brisket soy paste soup,Seasoned salad with broccoli and cuttlefish,Seasoned saesongyi mushroom,Ponytail radish kimchi
170,Steamed sorghum rice,Young pumpkin soup(clear),Ketchup-braised pork,Seasoned daikon,Perilla leaf kimchi,S kiwi (50g),S yoghurt (100ml),Beef bibimbap,Tofu miso paste soup,Pan-fried cuttlefish dumpling,Spring parsley and tomato salad,Radish kimchi cubes,S corn bread,S milk (100ml),Steamed sweet rice,Mushroom shabu-shabu,Braised chicken(breast) in teriyaki sauce,Macaroni and vegetable salad (mayonnaise),Cucumber kimchi
171,Steamed corn rice,Napa cabbage soup with glass noodles,Stir-fried soft crab and vegetables,Seasoned winter mushroom and chive,Water kimchi,S yoghurt (100ml),S misugaru (mixed grain powder),Beef and aubergine over rice,Udon (white wheat noodles) soup without noodles,Mini pork cutlet,Macaroni and vegetable salad (mayonnaise),Radish kimchi cubes,S milk with misugaru (mixed grain powder),S orange juice,Stir-fried rice with chicken and vegetables,Octopus soup,Braised konjac and quail eggs in soy sauce,Summer radish,Radish kimchi cubes
172,Paprika rice ball with fried tofu,Napa cabbage perilla seed  soup,Pan-fried winter mushroom with eggs,Seasoned salad with broccoli in soy paste,Napa cabbage kimchi,empty,S homestyle banana milk,Curried rice with pork,Spring onion bean sprout soup,Pan-fried seafood and kimchi,empty,Radish kimchi cubes,S grilled sweet potato,S orange juice,Steamed pearl barley rice,Non-spicy kimchi soup,Braised chicken drumsticks and beef in soy sauce,Seasoned salad with soft crab and green bean sprout,Ponytail radish kimchi
173,Steamed sorghum rice,Tofu bean sprout soup,Braised sweet pumpkin and pork loin,Stir-fried daikon slices,White kimchi,empty,S homestyle banana milk,Soy-based shrimp rice bowl,Winter mushroom miso soup,Steamed eggs (40g),Seasoned perilla leaf and perilla seed,Radish watery kimchi,empty,S rice-based beverage,Steamed chestnut bean rice,Assorted mushroom stew,Steamed pork belly and sweet pumpkin,Seasoned cabbage,Radish kimchi cubes
174,Steamed sorghum rice,Fried fish cake soup,Steamed eggs (30g),Seasoned green bean sprout and carrot,Radish kimchi cubes,S soft tofu salad (oriental dressing),empty,Steamed corn rice,Clam soy paste stew,Unyang style barbequed beef,Stir-fried paprika,Napa cabbage kimchi,S steamed potato,S rice-based beverage,Bulgogi vegetable fried rice,Soup,Pan-fried mushroom,Braised black beans and walnut,Napa cabbage kimchi
175,Steamed sweet barley rice,Mandu (dumpling) soup,Stir-fried shrimp in ketchup,Seasoned salad with crown daisy and tofu,Radish kimchi cubes,S yoghurt (100ml),empty,Curried rice with beef,Mussel soup(clear),Braised spanish mackerel in soy sauce,Seasoned salad with lettuce and apple in vinegar marinade,Radish kimchi cubes,S sweet pumpkin salad (mayonnaise),S orange juice,Steamed sweet barley rice,Wild chive soy paste soup,Roasted smoked duck with vagetable,Pan-fried potato and lotus root,Water kimchi
176,Steamed sweet rice,Mandu (dumpling) soup,Stir-fried soft crab and paprika,Lotus root and black sesame salad,Napa cabbage kimchi,S banana shake,empty,Rice with beans,Zucchini soup(clear),Stir-fried jukkumi and vegetables in soy sauce,Seasoned curled mallow,Radish kimchi cubes,S milk (100ml),empty,Rice with beans,Unpressedtofu stew,Stir-fried smoked duck and sweet pumpkin,Seasoned salad with sweet potato stem in soy paste,Radish kimchi cubes
177,Steamed red bean rice,Zucchini soup(clear),Ketchup-braised chicken drumsticks,Fruit peanut salad,Napa cabbage kimchi,S milk (100ml),empty,Steamed sweet rice,Mild kimchi tofu soup,Soy sauce-braised beef,Pan-fried dried shrimp and curled mallow,Water kimchi,S sweet potato dango,S green plum juice,Steamed sweet barley rice,Beef bone-broth green onion soup,Stir-fried cuttlefish in oyster sauce,Seasoned salad with aubergine,Napa cabbage kimchi
178,Steamed mixed-grain rice,Chicken green bean sprout soup,Soy sauce-braised beef and mushroom,Seasoned thistle,Napa cabbage kimchi,S korean melon (100g),empty,Stir-fried rice with aubergine and vegetables,Potato egg soup,Fried tofu + marinade sauce,Seasoned salad with canola,Napa cabbage kimchi,S milk (100ml),empty,Steamed chestnut red bean sweet rice,Bokchoy soy paste soup,Stir-fried pork belly and kimchi,Seasoned young pumpkin,Radish kimchi cubes
179,Beef rice ball with seaweed flakes,Carrot soup,Rolled omelet with tuna,Seasoned salad with paprika in vinegar marinade,Radish kimchi cubes,empty,S sweet pumpkin rice punch,Steamed corn rice,Clam curled mallow  soup,Soy sauce-braised pork and egg,Pan-fried potato with perilla leaves,Water kimchi,S milk with misugaru (mixed grain powder),S milk (100ml),Steamed sweet rice,Mild kimchi soup,Beef bulgogi (sirloin),Seasoned salad with hijiki,Radish kimchi cubes
180,Steamed black rice (40),Perilla seed potato soup,Grilled dried corvina,Seasoned cabbage,Radish kimchi cubes,S milk (100ml),empty,Steamed sweet rice and red bean,Carrot soup,Roasted smoked duck + daikon-wraps,Parboiled broccoli (black sesame sauce),Napa cabbage kimchi,S steamed sweet potato,S grape juice,Steamed sweet rice and red bean,Chilled acorn jelly soup,Braised pork steak,Seasoned salad with winter cabbage,Water kimchi
181,Steamed chestnut red bean sweet rice,Clear cabbage soup,Royal-style tteokbokki (stir-fried rice cake),Parboiled broccoli (black sesame sauce),Young radish water kimchi,empty,S homestyle banana milk,Steamed sweet potato rice,Clam and unpressed tofu soup,Boiled and cooled pork slices,Cabbage wraps,Ponytail radish kimchi,S almond apple doughnut,S milk (100ml),Steamed sweet rice,Kimchi soup(clear),Braised saesongyi mushroom and eggs in soy sauce,Stir-fried potato(shredded),Water kimchi
182,Steamed red bean rice,Assorted mushroom stew,Braised vegetables and fried fish paste bowl,Seasoned cabbage,Water kimchi,S yoghurt (100ml),S yakult,Steamed chestnut red bean sweet rice,Winter mushroom egg soup,Tofu steak,empty,Radish kimchi cubes,S half-moon rice cake,S sweet pumpkin rice punch,Steamed chestnut bean rice,Assorted mushroom stew,Grilled spanish mackerel in teriyaki sauce,Braised burdock slices and konjac,Young radish kimchi
183,Steamed corn rice (30),Saesongyi mushroom soup,Omelette with cheese,Steamed aubergine in sauce,Napa cabbage kimchi,empty,S homestyle banana milk,Curried rice with chicken and potato + marinade sauce,Zucchini tofu salted shrimp soup,Assorted fruit salad,empty,Radish kimchi cubes,empty,S green plum tea,Steamed sweet rice,Mandu (dumpling) soup,Stir-fried jukkumi and vegetables in soy sauce,Seasoned curled mallow,Radish kimchi cubes
184,Steamed chestnut bean rice (30),Potato soup,Braised sweet potato and quail eggs,Summer radish,White kimchi,S apple (35g),S yoghurt (100ml),Stir-fried rice with aubergine and vegetables,Bean powder daikon soup,Stir-fried webfoot octopus and vegetables,empty,Ponytail radish kimchi,S steamed sweet potato,S sweet pumpkin rice punch,Steamed chestnut red bean sweet rice,Brown kelp and onion soup,Stir-fried chicken and cabbage,Pan-fried washed kimchi,Young radish kimchi
185,Steamed corn rice (30),Zucchini salted shrimp stew,Stir-fried tofu and vegetables in oyster sauce,Seasoned salad with bean sprout,Young radish water kimchi,S kiwi (50g),S yoghurt (100ml),Japanese style beef over rice (kyudon),Oyster mushroom soup,Seasoned salad with cucumber and tuna in mayonnaise,empty,Radish kimchi cubes,S seed-filled fried pancake,S milk (100ml),Steamed sweet rice,Seaweed mandu (dumpling) soup,Stir-fried jukkumi and vegetables in soy sauce,Seasoned salad with spring parsley,Sweet napa cabbage watery kimchi
186,Steamed corn rice (30),Zucchini salted shrimp stew,Soy sauce-braised pork and king oyster mushrooms,Seasoned oyster mushroom,Young radish water kimchi,S homestyle strawberry milk,empty,Steamed chestnut bean rice,Oyster mushroom soup,Tofu tuna salad (yuzu dressing),empty,Radish kimchi cubes,S steamed sweet potato,S homestyle blueberry milk,Steamed sweet rice,Mung bean jelly soup,Stir-fried jukkumi and vegetables in soy sauce,Fresh kimchi with spring cabbage and chive,Ponytail radish kimchi
187,Steamed chestnut bean rice (30),Mandu (dumpling) soup,Stir-fried chicken and cabbage,(chilli powder-free) seasoned salad with chive and apple,Young radish kimchi,S blueberry (50g),empty,Tomato shrimp stir-fried rice,Seaweed miso soup,Chicken breast (mustard sauce),empty,Radish kimchi cubes,S strawberry jam bread,S milk (150ml),Steamed sweet rice (add),Shiitake mushroom stew,Braised chicken and beef in soy sauce with rice cake,Seasoned curled mallow,Radish kimchi cubes
188,Steamed rice,Kimchi soup(clear),Braised sweet potato and quail eggs,Seasoned salad with chwinamul in soy paste,Cucumber kimchi,empty,S grape juice,Steamed black rice,Carrot soup,Stir-fried chicken in soy sauce without bones,Stir-fried zucchini,Radish kimchi cubes,empty,S milk with misugaru (mixed grain powder),Steamed sweet rice,Fried fish paste soup(clear),Braised korean kebab in soy sauce,Seasoned winter cabbage,Radish kimchi cubes
189,Steamed sorghum rice,Red bean porridge,Rolled omelette with vegetables,Stir-fried anchovy with perilla leaves,Cucumber kimchi,S blueberry (50g),S yoghurt (100ml),Stir-fried rice with broccoli and vegetables,Fried tofu soup,Chicken tender salad (mustard dressing),empty,Pickled beet,S blueberry (50g),S milk (100ml),Steamed sweet rice and red bean,Kimchi soup(clear),Braised meat ball and paprika,Seasoned salad with shepherd's purse,Water kimchi
190,Steamed sweet rice,Shredded dried pollack soup,Soy sauce-braised beef and eggs,Stir-fried tuna and potato,Ponytail radish kimchi,S strawberry (100g),S yoghurt (100ml),Stir-fried rice with soft crab and pineapple,Potato egg soup,Deep-fried sweet potato,Apple salad (balsamic vinegar dressing),Pickled beet,S steamed sweet potato,S homestyle banana milk,Steamed chestnut bean rice,Chicken bone broth,Braised pork and lotus root,Seasoned chive,Water kimchi
191,Steamed corn rice (30),Rice cake and dumpling soup,Grilled tofu in teriyaki sauce(soy sauce),Seasoned salad with spring cabbage,Radish kimchi cubes,S banana (50g),empty,Pork and cabbage over rice,Egg spring onion soup,Deep-fried mandu (dumpling) + soy sauce with vinegar,empty,Pickled beet,S raisin potato bowl,S homestyle strawberry milk,Steamed sorghum rice,Tofu shabu-shabu,Sirloin bulgogi with mushroom,Steamed aubergine in sauce,Young radish kimchi
192,Steamed sweet rice and brown rice,Kimchi tofu soup,Teriyaki sauce-braised pork,Seasoned salad with aubergine in marinade sauce,Young radish water kimchi,empty,S milk (150ml),Curried rice with chicken and potato + marinade sauce,Young pumpkin soup(clear),Vegetable croquette,Seasoned winter mushroom,Radish kimchi cubes,S yakgwa (honey cookie),S rice-based beverage,Steamed sweet rice and red bean,Tofu shabu-shabu,Grilled spanish mackerel + marinade sauce,Seasoned winter mushroom and chive,Napa cabbage kimchi
